IncidentNumber,DateTimeOfCall,CalYear,FinYear,TypeOfIncident,PumpCount,PumpHoursTotal,HourlyNominalCost(£),IncidentNominalCost(£),PropertyType,PropertyCategory,IsBariatric,SpecialServiceTypeCategory,SpecialServiceType,FinalDescription,WardCode,WardName,BoroughCode,BoroughName,StnGroundName,Postcode
5069091,08/01/2009 11:27,2009,2008/09,Special Service,1,1,255,255,Other road vehicle,Road Vehicle,1,Other Transport incident,Transport incident (not RTC) - Release of person/s,"ASSIST LAS  WITH HEAVY PATIENT STUCK IN AMBULANCE,BO",E05000490,Plaistow South,E09000025,Newham,Plaistow,E13
11630091,19/01/2009 17:39,2009,2008/09,Special Service,1,1,255,255,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST AMBULANCE IN REMOVING PATIENT WITH CARDIAC ARREST,B0",E05009396,Golborne,E09000020,Kensington and Chelsea,North Kensington,W10
24914091,12/02/2009 15:09,2009,2008/09,Special Service,1,1,255,255,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST LAS WITH DIFFICULT PATIENT REMOVAL, B2",E05000203,Jubilee,E09000010,Enfield,Edmonton,N9
28750091,18/02/2009 22:57,2009,2008/09,Special Service,1,1,255,255,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST AMBULANCE,B0",E05000275,Noel Park,E09000014,Haringey,Hornsey,N8
43952091,17/03/2009 12:08,2009,2008/09,Special Service,1,3,255,765,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST LAS WITH REMOVAL OF PATIENT,B2,LO1",E05000305,West Harrow,E09000015,Harrow,Harrow,HA1
61886091,14/04/2009 16:21,2009,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST LAS WITH HEAVY PATIENT,B2",E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,Hammersmith,W12
67248091,23/04/2009 17:13,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST LAS REMOVE PATIENT,B2",E05000192,Walpole,E09000009,Ealing,Ealing,W13
70034091,27/04/2009 15:29,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST AMBULANCE WITH HEAVY PATIENT ,B2",E05000493,Wall End,E09000025,Newham,East Ham,E6
87550091,24/05/2009 17:58,2009,2009/10,Special Service,1,2,260,520,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST AMBULANCE WITH HEAVY PATIENT IN LIFE THREATENING CONDITION, B2",E05000039,Thames,E09000002,Barking and Dagenham,Barking,IG11
92464091,31/05/2009 18:41,2009,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,"ASSIST LAS WITH REMOVAL OF LARGE PATIENT, B2",E05011098,Chaucer,E09000028,Southwark,Old Kent Road,SE1
