"lsoa11cd","lsoa11nm","BP_PRE_1900","BP_1900_1918","BP_1919_1929","BP_1930_1939","BP_1945_1954","BP_1955_1964","BP_1965_1972","BP_1973_1982","BP_1983_1992","BP_1993_1999","BP_2000_2009","BP_2010_2015","BP_UNKNOWN","ALL_PROPERTIES","MODE1_VAL","MODE1_TYPE","MODE1_PC","MODE2_VAL","MODE2_TYPE","MODE2_PC","MODE2_MODE1_RATIO"
"E01000001","City of London 001A",60,1,0,0,0,50,840,10,0,50,80,0,10,1100,840,"BP_1965_1972",0.76,80,"BP_2000_2009",0.07,0.1
"E01000002","City of London 001B",10,0,0,0,0,70,910,1,10,0,0,200,1,1190,910,"BP_1965_1972",0.76,200,"BP_2010_2015",0.17,0.22
"E01000003","City of London 001C",20,0,0,0,0,20,780,1,0,60,40,0,1,910,780,"BP_1965_1972",0.86,60,"BP_1993_1999",0.07,0.08
"E01000005","City of London 001E",90,1,1,20,1,140,110,170,70,0,10,70,1,680,170,"BP_1973_1982",0.25,140,"BP_1955_1964",0.21,0.82
"E01000006","Barking and Dagenham 016A",40,20,170,140,30,0,0,0,0,130,10,1,0,530,170,"BP_1919_1929",0.32,140,"BP_1930_1939",0.26,0.82
"E01000007","Barking and Dagenham 015A",20,1,20,60,0,60,110,0,20,80,240,320,10,950,320,"BP_2010_2015",0.34,240,"BP_2000_2009",0.25,0.75
"E01000008","Barking and Dagenham 015B",0,0,0,0,0,0,530,0,0,0,1,0,0,530,530,"BP_1965_1972",1,1,"BP_2000_2009",0,0
"E01000009","Barking and Dagenham 016B",60,230,50,50,10,0,0,50,50,60,90,10,0,660,230,"BP_1900_1918",0.35,90,"BP_2000_2009",0.14,0.39
"E01000010","Barking and Dagenham 015C",10,170,60,120,140,60,10,1,0,0,640,1,1,1220,640,"BP_2000_2009",0.52,170,"BP_1900_1918",0.14,0.27
"E01000011","Barking and Dagenham 016C",160,290,10,1,0,0,0,0,1,1,0,0,1,470,290,"BP_1900_1918",0.62,160,"BP_PRE_1900",0.34,0.55
"E01000012","Barking and Dagenham 015D",70,50,1,40,1,10,30,0,350,1,150,0,0,700,350,"BP_1983_1992",0.5,150,"BP_2000_2009",0.21,0.43
"E01000013","Barking and Dagenham 013A",0,0,620,20,1,0,0,0,1,0,0,20,1,660,620,"BP_1919_1929",0.94,20,"BP_2010_2015",0.03,0.03
"E01000014","Barking and Dagenham 013B",0,0,600,1,1,0,0,50,10,0,0,0,0,670,600,"BP_1919_1929",0.9,50,"BP_1973_1982",0.07,0.08
