,IncGeo_BoroughName,WardName,Count
0, NOT GEO-CODED,NOT GEO-CODED,4283
1,BARKING AND DAGENHAM,ABBEY,2836
2,BARKING AND DAGENHAM,ALIBON,953
3,BARKING AND DAGENHAM,BECONTREE,1168
4,BARKING AND DAGENHAM,CHADWELL HEATH,1413
5,BARKING AND DAGENHAM,EASTBROOK,1405
6,BARKING AND DAGENHAM,EASTBURY,1324
7,BARKING AND DAGENHAM,GASCOIGNE,2370
8,BARKING AND DAGENHAM,GORESBROOK,1135
9,BARKING AND DAGENHAM,HEATH,1712
10,BARKING AND DAGENHAM,LONGBRIDGE,956
11,BARKING AND DAGENHAM,MAYESBROOK,1083
12,BARKING AND DAGENHAM,PARSLOES,961
13,BARKING AND DAGENHAM,RIVER,1192
14,BARKING AND DAGENHAM,THAMES,2881
15,BARKING AND DAGENHAM,VALENCE,920
16,BARKING AND DAGENHAM,VILLAGE,1737
17,BARKING AND DAGENHAM,WHALEBONE,1102
18,BARNET,BRUNSWICK PARK,1129
19,BARNET,BURNT OAK,1935
20,BARNET,CHILDS HILL,2450
21,BARNET,COLINDALE,2330
22,BARNET,COPPETTS,1613
23,BARNET,EAST BARNET,1108
24,BARNET,EAST FINCHLEY,1757
25,BARNET,EDGWARE,2163
26,BARNET,FINCHLEY CHURCH END,1608
27,BARNET,GARDEN SUBURB,2030
28,BARNET,GOLDERS GREEN,2558
29,BARNET,HALE,1431
30,BARNET,HENDON,2501
31,BARNET,HIGH BARNET,1943
32,BARNET,MILL HILL,2005
33,BARNET,OAKLEIGH,1301
34,BARNET,TOTTERIDGE,1493
35,BARNET,UNDERHILL,2241
36,BARNET,WEST FINCHLEY,1750
37,BARNET,WEST HENDON,2006
38,BARNET,WOODHOUSE,1864
39,BEXLEY,BARNEHURST,1057
40,BEXLEY,BELVEDERE,1821
41,BEXLEY,BEXLEYHEATH,555
42,BEXLEY,BLACKFEN & LAMORBEY,274
43,BEXLEY,BLACKFEN AND LAMORBEY,250
44,BEXLEY,BLENDON & PENHILL,199
45,BEXLEY,BLENDON AND PENHILL,440
46,BEXLEY,BRAMPTON,273
47,BEXLEY,CHRISTCHURCH,988
48,BEXLEY,COLYERS,666
49,BEXLEY,CRAY MEADOWS,1079
50,BEXLEY,CRAYFORD,1662
51,BEXLEY,CROOK LOG,267
52,BEXLEY,DANSON PARK,775
53,BEXLEY,EAST WICKHAM,811
54,BEXLEY,ERITH,2607
55,BEXLEY,FALCONWOOD & WELLING,355
56,BEXLEY,FALCONWOOD AND WELLING,437
57,BEXLEY,LESNES ABBEY,768
58,BEXLEY,LONGLANDS,1140
59,BEXLEY,NORTH END,1707
60,BEXLEY,NORTHUMBERLAND HEATH,616
61,BEXLEY,SIDCUP,1633
62,BEXLEY,SLADE GREEN & NORTHEND,578
63,BEXLEY,ST. MARY'S,552
64,BEXLEY,ST. MARY'S & ST. JAMES,302
65,BEXLEY,ST. MICHAEL'S,346
66,BEXLEY,THAMESMEAD EAST,1984
67,BEXLEY,WEST HEATH,181
68,BRENT,ALPERTON,1208
69,BRENT,BARNHILL,1490
70,BRENT,BRONDESBURY PARK,1931
71,BRENT,DOLLIS HILL,1619
